pulseResponse_Test_D1_1_HR,pulseResponse_Test_D1_1_PPGamp,pulseResponse_Test_D1_2_HR,pulseResponse_Test_D1_2_PPGamp,pulseResponse_Test_D2_HR,pulseResponse_Test_D2_PPGamp,pulseResponse_Test_D3_HR,pulseResponse_Test_D3_PPGamp
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,-0.00133031728561395,0,0,0
0,0,0,0,-0.0043522877890805,0,0,0
0,0,-0.00337078526944773,0,-0.0104488298615544,0,0,0
0,0,-0.00898146777498478,0,-0.0170278978340348,0,0,0
0,0,-0.012678380044594,0,-0.02085193010445,0,0,0
0,0,-0.0152413489917561,0,-0.0204409226572526,0,0,0
0,0,-0.0146127605076835,0,-0.0169234017629918,0,0,0
0,0,-0.00775328786601851,0,-0.0110410876278832,0,0,0
0,-0.000289997180891937,0.000765286801113384,0,-0.00650550266950411,0,0,0
0,0.00117227734190004,0.00462184544413162,0,-0.00517648235293205,0,0,0
0,-0.00598230162885843,0.00574774495967266,0,-0.00599497672555832,0,0,0
0,-0.0151615000591123,0.0035237198531444,0,-0.00756710312532099,0,-0.000253326950063104,0
0,-0.0283406286393716,-0.000936012105381973,0,-0.00703921095878706,0,0.000336479382257202,0
0,-0.0356858776907718,-0.00430502742800665,0,-0.00313960061020228,0,0.00104103475544721,0
0,-0.0399159356631134,-0.00472041022048383,0,0.000845401145754486,0,0.00154162728613815,0
0,-0.0263997663124177,-0.0025908267971286,0,0.00275687982260736,0,0.00185310550699414,0
0,-0.00780696394477795,0.000866937413490941,0,0.00327924397870506,0,0.00167105569377283,0
0,0.0157792650598763,0.00346235745184572,0,0.00155960324429172,0,0.000359968616056325,0.0127891344009904
0,0.027530293915865,0.0046253055483592,0,-0.0023163322428396,0,-0.000366078374656539,0.0215034642999429
0,0.0279427393512972,0.00550046271121572,0,-0.00525167839215158,0,5.43059400706875e-05,0.0261153486278012
0,0.011896948859998,0.00593944381778434,0,-0.00627986071690322,0,0.000944629419632071,0.0127496026779877
0,-0.00877427485241391,0.00557059899926175,0,-0.00645952006852763,0,0.00251580763230716,-0.0108070890689168
0,-0.0284156046342098,0.00546443421069387,0,-0.0052348974073704,0,0.00432014473173567,-0.0487470107552231
0,-0.0346680274589152,0.00623573709394311,0,-0.00303382129093711,0,0.00533571976541373,-0.0709689027431958
0,-0.0278579715948675,0.00747282710113379,0,-0.00168798741799997,0,0.00508590279605236,-0.0813187645885664
0,-0.00885051894976246,0.0086859134755206,0,-0.000819513195667829,0,0.00428164329125388,-0.0741787624665537
0,0.0108742213922991,0.00937288175511277,0,0.000111914154496204,0,0.00353790565661492,-0.0664822221331823
-0.00215406585251807,0.0238783325739096,0.00962210253255408,0.0152113026809208,-7.6550897376081e-05,0,0.00304746665649644,-0.0624468853277416
-0.00604792743045045,0.0221629835780777,0.010010724090057,0.0234854422752036,-0.00109744121238929,0,0.00279515473760061,-0.0660213970660754
-0.00889564608373364,0.00806469821404787,0.0103485642236434,0.0314788903124031,-0.00203878853607473,0,0.00293616881731717,-0.0658660529146928
-0.00855828908614682,-0.0131157848084191,0.0102709634616248,0.0383838680244065,-0.00375315090736475,0,0.00337949772830696,-0.0579769245811113
-0.00868821678089495,-0.0301140731697746,0.0102193899946621,0.0472405354144537,-0.00604445668690326,0,0.00382704992111218,-0.0423141035271933
-0.00991049185415665,-0.0358520216233898,0.0105152177187508,0.0388747971192446,-0.00742858546408618,0,0.00398867190637879,-0.0290954172813048
-0.0102470145290252,-0.0265263997758875,0.0108930238547016,0.0387606880971216,-0.0081359868430055,0,0.00388910697675274,-0.023110661309821
-0.00897978223899304,-0.00713656855975203,0.0111213941364072,0.0399716654628196,-0.00841387525576871,0,0.00365098529493037,-0.0231077400350598
-0.00856649924191074,0.0141510636395826,0.0111402729017168,0.0438150191987226,-0.00735848136736648,-0.0139494898841468,0.00339112829848792,-0.0203398744803547
-0.0079047582458541,0.0269647773259453,0.0110883043148089,0.045732003239414,-0.00563854564083079,-0.0279600513421562,0.00316396145980803,-0.0105181876574945
-0.00479864213748963,0.0261421682590617,0.0111859462225994,0.0510859770920337,-0.00448110294795134,-0.0518649731864492,0.00305568487139541,0.00394234297314024
-0.000256230790677014,0.0119284461087199,0.0112820526635262,0.0563780533833802,-0.00356844698947176,-0.0842210070236303,0.00308412549867729,0.0151002905038934
0.00251184125571945,-0.00819186704540052,0.0111725731547216,0.0618040503156859,-0.00318636825752435,-0.112506397223068,0.00319620457475636,0.0192173480466824
0.00241307163810701,-0.0247474453471263,0.0110800782764756,0.06634182492089,-0.00420392613394518,-0.121404038340834,0.00328812799800086,0.0193827552870152
0.00121782912966963,-0.0292366486477354,0.0111785814375805,0.0721152061669243,-0.00585213169411801,-0.122953134541106,0.00331510433492291,0.0228311694285627
0.000465566037051495,-0.0194606589251604,0.0113008063508357,0.0775953022057711,-0.00745343517094456,-0.10391116414704,0.0032721302607465,0.0326292311445298
-0.000150215759116449,0.000608731656100191,0.0113209323057001,0.0828245254679327,-0.009383278876769,-0.0672424366929297,0.00318492106417762,0.0452456124214881
-0.00113830294572019,0.0216786957337713,0.0112790230237689,0.0877244925659622,-0.010950996506171,-0.0314947506987883,0.00307565881511469,0.0540911972947452
-0.00181762399953164,0.0344152741414676,0.0112703774641156,0.093074585704511,-0.0113743835735639,-0.00136225046545585,0.00298235985790983,0.0568083703215277
-0.00138958683332003,0.033048482818483,0.0113548459963308,0.0981768352474117,-0.0112673292058992,0.020079805031348,0.00292822399107934,0.0572404694148628
-0.000299181227558273,0.0187817287435313,0.0114320037756412,0.103071751841815,-0.0107126127288015,0.0300095647368809,0.00291699130567428,0.0613994541214581
0.000377682406837916,-0.00139128211133177,0.0114111597317682,0.107859291465143,-0.00935495252183169,0.0328839285739035,0.00292458065804656,0.0709957401536881
0.000344242444512339,-0.017449246009202,0.0114131557968366,0.112794243509261,-0.00808648117727897,0.0385534603254364,0.00292990661733897,0.0820235928922278
0.000129609561882151,-0.0215378420029032,0.0115233010213172,0.117557433189676,-0.00749965045808098,0.0519335418998227,0.002917746502702,0.0890587237029838
6.36737630347804e-05,-0.0112540830387124,0.0116371649492957,0.12219481328567,-0.00723286569609296,0.0730538681649645,0.0028862400134312,0.0910158965284779
-6.05044430762896e-05,0.00886160051897679,0.0116864148227674,0.126795191659957,-0.00769450055334029,0.0981353892419895,0.00283739187568978,0.0919971437278943
-0.000361867878386817,0.0297889580727724,0.0117215362558681,0.131424760904012,-0.0091796449000562,0.12043763816308,0.00278250713031609,0.0968769129245714
-0.000535758471859805,0.0419992751798331,0.0117979403841351,0.135941833797432,-0.0108344692545096,0.133510549474908,0.00273242858421211,0.106195773268161
-0.000316816481395478,0.040191306141502,0.0119166910328407,0.140386134229035,-0.0123512844489817,0.135785513780205,0.00269525093359235,0.115848098220046
0.000118308821028816,0.0255685204635435,0.0120180876405257,0.144809124052587,-0.0138435814088657,0.130907302697883,0.00266928361509576,0.121510919999421
0.000430621963156122,0.00545815787909769,0.0120711998094172,0.149217699406757,-0.0145874211878288,0.125461554927648,0.00264971901929605,0.123139955546193
0.000557052189465533,-0.0103122679785567,0.0121427932366721,0.153552387156452,-0.0143525901255663,0.125764221072953,0.00262975782660058,0.124796740739817
0.000657439217024944,-0.013898930179872,0.012269456661139,0.157841534532099,-0.0137563954798828,0.134747513960014,0.00260554884985458,0.130282113771984
0.000786619932826604,-0.0032644695382878,0.0123885011098073,0.162109616984918,-0.0127846282382487,0.150286570953546,0.00257465983945468,0.139217753788169
0.00084996794819157,0.0169801907835467,0.0124662158690206,0.166349720672342,-0.0115106728336846,0.166542927870504,0.00253867410735732,0.147645474694774
0.000828321667688623,0.0376529127509512,0.0125427344289913,0.170539010712325,-0.010769788370323,0.177238225099492,0.00250059732963422,0.152273422671762
0.000845394453306885,0.0494168345960546,0.0126476650406087,0.174695257300489,-0.01072582068666,0.178947997012572,0.00246434751693379,0.153847838324297
0.000987194039532902,0.0471016987459192,0.0127664296997624,0.178828385811377,-0.0110991640517462,0.172822803078865,0.00243150044858662,0.156188596884186
0.00119020887671023,0.0322041397022118,0.0128665660001658,0.182931336006634,-0.0121925561924874,0.163963041463196,0.00240218360477175,0.162108518111451
0.00135495906464227,0.0121183435537503,0.0129434220864311,0.186996621065963,-0.0138348846575396,0.158664929698655,0.00237474761831807,0.170557224033694
0.00147551969902431,-0.00329903857663925,0.0130334609618232,0.191034388333598,-0.0152756333935832,0.161084178319296,0.00234757155529552,0.177890741890522
0.00160003823547468,-0.00641973475239109,0.0131492571820269,0.195047971829631,-0.0164295599109435,0.171126654785482,0.00231896144696923,0.181751830912848
0.00172984860587848,0.00460475662451806,0.013254858594216,0.199032901829156,-0.0172436207947979,0.184620550503653,0.00228843015789464,0.183443065331375
0.00182689645629642,0.024941126569404,0.0133360293458333,0.202987552644039,-0.0172163140997443,0.195600636507243,0.00225623763191548,0.186409420751065
0.00189118170940127,0.0453870975628001,0.013420111438887,0.206917334112532,-0.0165265512425211,0.199493157980948,0.00222353449724208,0.192584908100335
0.0019684984254631,0.0566820754641081,0.013521477204137,0.210823058550538,-0.0156890911357561,0.19550118614699,0.00219123622681662,0.200468676011004
0.00208471543596508,0.0538936141147049,0.0136251348227492,0.214702479636876,-0.0146935302983713,0.186944262463097,0.00215999847067546,0.206836778963003
0.00221748454512889,0.0387166304625639,0.0137147782256363,0.218555886389243,-0.0138383045167373,0.179424853963158,0.00212976411104152,0.210149213490415
0.00233913608217778,0.0186887724317188,0.0137947635956434,0.222386037003807,-0.0137022659026409,0.177841696043086,0.0021002105084833,0.212059699944327
0.00245270806189913,0.00361913005057598,0.0138842672153421,0.226192997678151,-0.0141642603687623,0.183837523796423,0.00207070604850053,0.215558784402828
0.00257216940559453,0.000980222789663602,0.0139853034186251,0.229975886267706,-0.0150233915367227,0.195012726218491,0.00204082230719762,0.221826339775193
0.00269267990854687,0.0123770445588318,0.0140780863772514,0.233735421872895,-0.0163945869367688,0.206280943877051,0.00201032109963159,0.229100189845098
0.00279997539235828,0.0328063450563137,0.014158068715816,0.237472998011232,-0.0178648067719849,0.212605490495138,0.00197936157766474,0.234633479419401
0.0028959131906968,0.0530085438343414,0.0142421885992003,0.241188585798968,-0.0189041510416766,0.211646003965181,0.00194820507760326,0.237574894829414
0.00299630993897843,0.0638412365583292,0.0143364108500076,0.2448820073866,-0.0195502432557344,0.204928706039717,0.00191718154182368,0.239757576797485
0.00310826491558136,0.060578258952903,0.0144293831949527,0.248553941494593,-0.0196946201422832,0.196959135887954,0.00188644589304994,0.243681363349378
0.00322406942852254,0.0451394184899016,0.0145136031904715,0.252205128947884,-0.0191280375751177,0.192789423040162,0.00185604184704483,0.249902869109124
0.00333657084674267,0.0251755155397187,0.0145949386037367,0.255835622179533,-0.0182451430561262,0.195353096094657,0.00182583324650704,0.256553374808033
0.00344839158556075,0.0104652622635358,0.0146828825129406,0.259445558104356,-0.0174217751414914,0.203973242665892,0.00179566200402088,0.261381462245998
0.00356343998640551,0.00830284991990917,0.0147756273632716,0.263035478837703,-0.0166902190196788,0.214800831887751,0.00176536655334429,0.264093737950463
0.00367858644971661,0.0200676513428425,0.0148627340253463,0.266605833017278,-0.0163929647096079,0.222909181562016,0.00173490172416399,0.266565128050934
0.00378883091178122,0.0405752779998056,0.0149438236708496,0.270156763593295,-0.0168010318730892,0.224907001481402,0.00170428724946664,0.270802440223125
0.00389536995359877,0.0605275653360019,0.0150286541927792,0.273688524269722,-0.0176396371524444,0.220685664741654,0.00167361863136366,0.276868220733614
0.00400340119754821,0.070892925033888,0.0151189960934873,0.277201538062303,-0.0187505834460542,0.213402370427392,0.0016429774852582,0.282908351968688
0.00411465376488468,0.0671629634732308,0.0152073425674395,0.28069612958633,-0.0200717061433843,0.207748069778913,0.00161242981463641,0.287155501677165
0.004226536552794,0.0514708844431572,0.0152906849193115,0.284172500095762,-0.0211456707988471,0.207448905609294,0.00158197708926198,0.289748283001257
0.00433740837482616,0.0315836064513381,0.0153738553791271,0.287630931266377,-0.0216903928025494,0.213331002551585,0.00155159092045681,0.292498326351052
0.00444863549727359,0.0172373613013763,0.0154611769075036,0.291071764263885,-0.0218115509881047,0.222952416732078,0.0015212132498768,0.296942548857153
0.00456126086303308,0.0155512682283233,0.0155500781249613,0.29449527167751,-0.0214389826823209,0.231960120216841,0.00149080466132805,0.30277091782626
0.0046738353100666,0.0276744363597243,0.015635338402562,0.297901681940031,-0.0206183455000662,0.236420117294371,0.00146034236759822,0.308233771434849
0.00478470796988352,0.0482500715140215,0.0157180076798372,0.301291270162152,-0.0197933246793156,0.234874632935496,0.0014298378143971,0.31201493139907
0.00489445537004456,0.0679426448741212,0.0158033723941951,0.304664325520789,-0.0191994749329587,0.229051920175369,0.00139931283916441,0.314569071357689
0.00500470892878362,0.0778392540110431,0.0158914089381129,0.308021096427601,-0.0188937318205757,0.222886347930621,0.00136879778237259,0.317569124404583
0.00511580207707671,0.0736471395644454,0.0159775825700107,0.311361817905856,-0.0191339810123365,0.22040178808599,0.00133830847368545,0.322123121437837
0.00522688328204278,0.057713146629385,0.016061014630316,0.314686747929569,-0.0199253736364824,0.223595913320404,0.00130784995017993,0.327658078325173
0.00533765523591811,0.0379128266803531,0.0161450417692588,0.317996142531276,-0.0209438308311471,0.231436772235816,0.00127741041105454,0.332590708547509
0.0054487106174596,0.0239370289701387,0.0162313975911063,0.321290235335079,-0.0220506710013214,0.240473550607302,0.00124697573379542,0.336008596148321
0.00556030547769266,0.0227251285383268,0.0163178964596566,0.324569256675495,-0.0230772755028944,0.246704123816933,0.00121653117660975,0.338579829445927
0.00567185556013111,0.0351985108316732,0.0164021165268904,0.327833446035045,-0.0236572046053886,0.247689907477745,0.00118607183739942,0.341789251054223
0.00578284587022917,0.0558305683770177,0.0164853306019905,0.33108303687436,-0.0237243347594186,0.243801470237464,0.00115559865736766,0.346368299746145
0.00589352134263699,0.0752550662773288,0.0165702350987493,0.334318250583882,-0.0234225123019944,0.237960274162978,0.00112511989452151,0.351576275588311
0.00600437043115856,0.084680772372844,0.0166562264750148,0.337539307551325,-0.0227642037281198,0.234046270599598,0.00109464314703926,0.356034175054114
0.0061154179431821,0.0800325106029998,0.0167407614117399,0.340746430246486,-0.0219562426796849,0.23483806406077,0.00106417471219424,0.359177536433727
0.00622639039561805,0.0638672118859193,0.0168238539301006,0.343939835130006,-0.02137748254446,0.240578268101943,0.00103371504834468,0.361800340700844
0.00633726864191074,0.0441648000147881,0.0169075832790175,0.347119731840843,-0.0211391981329101,0.248903514766566,0.00100326181660298,0.365171890540349
0.00644828450130415,0.0305650411227796,0.0169924827889345,0.35028632888032,-0.0212846469451476,0.256144975019895,0.000972809893932366,0.369705131659472
0.00655949138182242,0.0298255212632591,0.0170770125885963,0.353439833619684,-0.021927720167997,0.259285182288964,0.000942355587997919,0.374571320937183
0.0066706724237675,0.0426403564715568,0.0171601711259904,0.356580448421745,-0.0228951136058619,0.257528370430466,0.00091189658427694,0.378613778631597
0.00678167676082005,0.0633177237311351,0.0172430118731983,0.359708371291956,-0.0238849776221754,0.252668178328754,0.000881433680868365,0.381556712640979
0.00689260124525333,0.0824656197216871,0.0173268147499728,0.362823798524926,-0.0247758276397831,0.248086804853982,0.000850968775515328,0.384248199057611
0.00700358472376835,0.0914188701865445,0.0174109245927649,0.36592692403394,-0.0253786933647107,0.246942357936279,0.000820504630002479,0.387732346037965
